StudentID,Date,Status,Reason
S209,2023-12-03,Present,N/A
S078,2023-10-21,Present,N/A
S109,2023-07-01,Present,N/A
S046,2023-06-02,Absent,Family Function
S104,2023-06-02,Present,N/A
S122,2023-08-20,Present,N/A
S286,2023-09-05,Present,N/A
S206,2023-07-19,Present,N/A
S091,2023-06-22,Present,N/A
S162,2023-08-13,Present,N/A
S090,2023-10-18,Present,N/A
S236,2023-08-03,Present,N/A
S144,2023-11-16,Present,N/A
S117,2023-10-29,Present,N/A
S177,2023-10-24,Absent,Unknown
S234,2023-09-15,Present,N/A
S174,2023-07-10,Present,N/A
S164,2023-12-05,Present,N/A
S111,2023-12-12,Absent,Sick Leave
S263,2023-11-22,Present,N/A
S196,2023-12-10,Present,N/A
S022,2023-09-14,Present,N/A
S181,2023-12-09,Present,N/A
S296,2023-09-01,Present,N/A
S161,2023-10-09,Present,N/A
S112,2023-07-08,Present,N/A
S232,2023-06-11,Absent,Sick Leave
S240,2023-12-17,Present,N/A
S120,2023-12-10,Present,N/A
S072,2023-07-21,Absent,Family Function
S110,2023-10-13,Present,N/A
S138,2023-09-06,Present,N/A
S090,2023-07-23,Present,N/A
S072,2023-06-26,Present,N/A
S124,2023-06-04,Present,N/A
S175,2023-10-19,Absent,Sick Leave
S228,2023-08-28,Present,N/A
S259,2023-09-05,Absent,Family Function
S022,2023-06-23,Present,N/A
S158,2023-09-11,Present,N/A
S095,2023-07-24,Present,N/A
S088,2023-07-18,Present,N/A
S090,2023-09-20,Absent,Transportation Issue
S243,2023-09-02,Absent,Transportation Issue
S216,2023-10-23,Present,N/A
S199,2023-09-29,Present,N/A
S015,2023-07-09,Absent,Unknown
S256,2023-08-07,Present,N/A
S266,2023-09-06,Present,N/A
S192,2023-10-16,Absent,Family Function
S261,2023-10-14,Present,N/A
S112,2023-11-01,Present,N/A
S017,2023-10-28,Present,N/A
S015,2023-11-10,Present,N/A
S036,2023-06-12,Present,N/A
