StudentID,Date,BehaviorType,Notes
S141,2023-10-24,Excellent,Answered all questions perfectly.
S229,2023-08-17,Helpful,Shared resources with classmates.
S227,2023-09-23,Excellent,Helped another student with code.
S033,2023-12-06,Helpful,Shared resources with classmates.
S027,2023-08-14,Excellent,Answered all questions perfectly.
S129,2023-11-21,Good,Completed work on time.
S170,2023-12-14,Good,Completed work on time.
S284,2023-12-02,Helpful,Shared resources with classmates.
S089,2023-07-19,Good,Attentive and respectful.
S193,2023-11-02,Inattentive,Staring out the window.
S039,2023-11-02,Inattentive,Not focusing on the assigned task.
S131,2023-08-13,Helpful,Assisted the teacher in setting up the lab.
S016,2023-08-06,Inattentive,Sleeping in class.
S131,2023-11-02,Disruptive,Using mobile phone in class.
S050,2023-07-12,Good,Attentive and respectful.
S275,2023-08-28,Helpful,Shared resources with classmates.
S273,2023-06-10,Disruptive,Arguing with peers.
S225,2023-07-22,Excellent,Helped another student with code.
S048,2023-07-08,Disruptive,Talking during the lecture.
S043,2023-08-17,Helpful,Shared resources with classmates.
S028,2023-11-24,Disruptive,Talking during the lecture.
S015,2023-06-29,Excellent,Outstanding performance in class discussion.
S025,2023-08-07,Disruptive,Arguing with peers.
S157,2023-06-13,Disruptive,Arguing with peers.
S242,2023-07-04,Disruptive,Arguing with peers.
S017,2023-06-27,Helpful,Assisted the teacher in setting up the lab.
S068,2023-10-09,Disruptive,Talking during the lecture.
S258,2023-10-20,Good,Attentive and respectful.
S075,2023-11-15,Disruptive,Arguing with peers.
S125,2023-08-24,Good,Good teamwork.
S018,2023-11-07,Good,Attentive and respectful.
S078,2023-06-06,Helpful,Assisted the teacher in setting up the lab.
S049,2023-11-10,Inattentive,Not focusing on the assigned task.
S270,2023-08-14,Helpful,Assisted the teacher in setting up the lab.
S142,2023-08-03,Inattentive,Sleeping in class.
S182,2023-09-06,Disruptive,Talking during the lecture.
S027,2023-10-31,Inattentive,Sleeping in class.
S121,2023-06-23,Helpful,Assisted the teacher in setting up the lab.
S122,2023-06-18,Inattentive,Sleeping in class.
S273,2023-11-24,Inattentive,Sleeping in class.
S298,2023-11-11,Good,Good teamwork.
S056,2023-12-18,Good,Good teamwork.
S212,2023-09-20,Good,Completed work on time.
S278,2023-09-20,Helpful,Assisted the teacher in setting up the lab.
S207,2023-07-10,Good,Good teamwork.
S198,2023-06-08,Disruptive,Arguing with peers.
S286,2023-07-27,Good,Attentive and respectful.
S099,2023-11-18,Inattentive,Staring out the window.
S005,2023-06-17,Excellent,Outstanding performance in class discussion.
S055,2023-09-14,Helpful,Shared resources with classmates.
S138,2023-06-29,Good,Completed work on time.
S241,2023-11-14,Good,Completed work on time.
S274,2023-11-19,Inattentive,Staring out the window.
S090,2023-07-31,Disruptive,Talking during the lecture.
S032,2023-08-30,Disruptive,Talking during the lecture.
S175,2023-10-04,Excellent,Helped another student with code.
S241,2023-08-25,Excellent,Outstanding performance in class discussion.
S074,2023-10-21,Disruptive,Talking during the lecture.
S098,2023-10-20,Helpful,Assisted the teacher in setting up the lab.
S240,2023-12-16,Helpful,Assisted the teacher in setting up the lab.
S048,2023-07-13,Helpful,Shared resources with classmates.
S094,2023-11-15,Inattentive,Sleeping in class.
S231,2023-09-21,Disruptive,Arguing with peers.
S058,2023-11-25,Helpful,Assisted the teacher in setting up the lab.
S204,2023-08-05,Good,Completed work on time.
S044,2023-07-29,Disruptive,Using mobile phone in class.
S227,2023-06-11,Helpful,Shared resources with classmates.
S048,2023-09-07,Helpful,Assisted the teacher in setting up the lab.
S179,2023-06-01,Inattentive,Not focusing on the assigned task.
S060,2023-10-19,Good,Completed work on time.
S053,2023-11-19,Disruptive,Using mobile phone in class.
S232,2023-10-23,Helpful,Assisted the teacher in setting up the lab.
S117,2023-08-09,Good,Completed work on time.
S289,2023-10-08,Inattentive,Sleeping in class.
S097,2023-07-26,Inattentive,Sleeping in class.
S146,2023-07-18,Good,Completed work on time.
S123,2023-09-22,Inattentive,Not focusing on the assigned task.
S275,2023-11-08,Inattentive,Sleeping in class.
S074,2023-11-06,Inattentive,Staring out the window.
S063,2023-10-13,Good,Attentive and respectful.
S298,2023-08-14,Inattentive,Sleeping in class.
S259,2023-09-26,Helpful,Shared resources with classmates.
S011,2023-08-29,Good,Attentive and respectful.
S222,2023-06-09,Inattentive,Not focusing on the assigned task.
S057,2023-06-03,Inattentive,Not focusing on the assigned task.
S288,2023-11-08,Excellent,Helped another student with code.
S220,2023-08-22,Helpful,Assisted the teacher in setting up the lab.
S069,2023-07-02,Excellent,Outstanding performance in class discussion.
S275,2023-08-21,Helpful,Shared resources with classmates.
S087,2023-08-25,Inattentive,Not focusing on the assigned task.
S207,2023-08-08,Excellent,Outstanding performance in class discussion.
S083,2023-12-05,Inattentive,Sleeping in class.
S027,2023-11-16,Excellent,Outstanding performance in class discussion.
S218,2023-06-22,Excellent,Outstanding performance in class discussion.
S271,2023-09-04,Excellent,Helped another student with code.
S164,2023-08-04,Inattentive,Staring out the window.
S231,2023-09-17,Excellent,Outstanding performance in class discussion.
S075,2023-08-31,Inattentive,Not focusing on the assigned task.
S288,2023-12-08,Good,Completed work on time.
S153,2023-06-16,Good,Good teamwork.
S177,2023-12-13,Inattentive,Staring out the window.
S134,2023-06-06,Helpful,Shared resources with classmates.
S023,2023-10-24,Good,Completed work on time.
S284,2023-06-25,Disruptive,Talking during the lecture.
S054,2023-11-22,Inattentive,Sleeping in class.
S232,2023-07-06,Excellent,Helped another student with code.
S119,2023-06-01,Inattentive,Not focusing on the assigned task.
S283,2023-09-09,Good,Completed work on time.
S290,2023-06-15,Helpful,Assisted the teacher in setting up the lab.
S287,2023-11-14,Excellent,Answered all questions perfectly.
S296,2023-12-01,Inattentive,Staring out the window.
S231,2023-12-14,Helpful,Assisted the teacher in setting up the lab.
S075,2023-06-05,Excellent,Helped another student with code.
S178,2023-12-14,Disruptive,Arguing with peers.
S142,2023-09-11,Good,Attentive and respectful.
S202,2023-07-25,Good,Good teamwork.
S182,2023-10-24,Helpful,Assisted the teacher in setting up the lab.
S035,2023-06-05,Inattentive,Staring out the window.
S222,2023-08-02,Inattentive,Staring out the window.
S104,2023-11-25,Good,Completed work on time.
S070,2023-10-14,Disruptive,Talking during the lecture.
S081,2023-10-16,Helpful,Assisted the teacher in setting up the lab.
S032,2023-08-30,Good,Attentive and respectful.
S290,2023-10-12,Excellent,Answered all questions perfectly.
S168,2023-09-22,Excellent,Outstanding performance in class discussion.
S172,2023-11-13,Excellent,Answered all questions perfectly.
S296,2023-07-31,Good,Completed work on time.
S235,2023-12-14,Helpful,Shared resources with classmates.
S133,2023-12-09,Disruptive,Arguing with peers.
S145,2023-10-26,Excellent,Helped another student with code.
S167,2023-11-01,Helpful,Shared resources with classmates.
S126,2023-10-24,Inattentive,Not focusing on the assigned task.
S122,2023-10-07,Disruptive,Using mobile phone in class.
S018,2023-08-08,Good,Good teamwork.
S279,2023-11-24,Helpful,Assisted the teacher in setting up the lab.
S101,2023-09-03,Inattentive,Sleeping in class.
S107,2023-06-21,Excellent,Helped another student with code.
S040,2023-11-19,Inattentive,Not focusing on the assigned task.
S297,2023-08-17,Good,Good teamwork.
S236,2023-09-13,Disruptive,Using mobile phone in class.
S184,2023-07-29,Disruptive,Talking during the lecture.
S056,2023-10-01,Good,Good teamwork.
S282,2023-10-17,Inattentive,Sleeping in class.
S138,2023-11-17,Excellent,Answered all questions perfectly.
S223,2023-08-28,Excellent,Helped another student with code.
S147,2023-11-07,Excellent,Helped another student with code.
S223,2023-07-26,Excellent,Answered all questions perfectly.
S021,2023-11-22,Excellent,Answered all questions perfectly.
S213,2023-09-21,Good,Completed work on time.
S082,2023-10-21,Good,Completed work on time.
S161,2023-06-09,Disruptive,Using mobile phone in class.
S184,2023-11-08,Inattentive,Not focusing on the assigned task.
S191,2023-07-06,Good,Good teamwork.
S278,2023-10-12,Helpful,Shared resources with classmates.
S149,2023-11-08,Helpful,Shared resources with classmates.
S239,2023-07-31,Inattentive,Sleeping in class.
S230,2023-09-06,Helpful,Assisted the teacher in setting up the lab.
S279,2023-06-04,Helpful,Assisted the teacher in setting up the lab.
S009,2023-08-01,Helpful,Assisted the teacher in setting up the lab.
S020,2023-07-29,Good,Attentive and respectful.
S094,2023-07-24,Helpful,Assisted the teacher in setting up the lab.
S123,2023-10-02,Helpful,Shared resources with classmates.
S068,2023-06-03,Helpful,Assisted the teacher in setting up the lab.
S162,2023-06-21,Good,Completed work on time.
S227,2023-11-24,Inattentive,Sleeping in class.
S064,2023-09-25,Good,Attentive and respectful.
S080,2023-06-17,Excellent,Outstanding performance in class discussion.
S214,2023-09-11,Helpful,Assisted the teacher in setting up the lab.
S176,2023-11-12,Inattentive,Not focusing on the assigned task.
S140,2023-09-02,Inattentive,Staring out the window.
S236,2023-08-02,Good,Completed work on time.
S219,2023-09-10,Helpful,Assisted the teacher in setting up the lab.
S213,2023-06-17,Good,Good teamwork.
S179,2023-10-13,Helpful,Assisted the teacher in setting up the lab.
S056,2023-06-04,Inattentive,Sleeping in class.
S208,2023-09-19,Good,Attentive and respectful.
S034,2023-06-03,Helpful,Shared resources with classmates.
S194,2023-08-30,Good,Attentive and respectful.
S013,2023-11-04,Excellent,Outstanding performance in class discussion.
S151,2023-07-13,Good,Attentive and respectful.
S221,2023-10-08,Helpful,Shared resources with classmates.
S293,2023-10-14,Good,Good teamwork.
S244,2023-07-29,Excellent,Answered all questions perfectly.
S126,2023-06-09,Excellent,Helped another student with code.
S201,2023-10-23,Good,Completed work on time.
S266,2023-06-02,Disruptive,Using mobile phone in class.
S193,2023-07-17,Inattentive,Sleeping in class.
S087,2023-06-12,Disruptive,Using mobile phone in class.
S270,2023-09-01,Helpful,Assisted the teacher in setting up the lab.
S248,2023-09-24,Good,Good teamwork.
S041,2023-12-12,Inattentive,Sleeping in class.
S114,2023-07-02,Excellent,Outstanding performance in class discussion.
S065,2023-12-03,Helpful,Assisted the teacher in setting up the lab.
S122,2023-11-20,Inattentive,Sleeping in class.
S290,2023-08-26,Disruptive,Arguing with peers.
S186,2023-07-05,Good,Completed work on time.
S242,2023-07-23,Excellent,Outstanding performance in class discussion.
S170,2023-07-03,Good,Attentive and respectful.
S222,2023-09-05,Good,Attentive and respectful.
S122,2023-07-05,Disruptive,Arguing with peers.
S130,2023-08-14,Excellent,Helped another student with code.
S024,2023-08-27,Good,Good teamwork.
S052,2023-08-19,Helpful,Assisted the teacher in setting up the lab.
S263,2023-08-04,Excellent,Answered all questions perfectly.
S015,2023-10-14,Helpful,Shared resources with classmates.
S255,2023-11-10,Excellent,Outstanding performance in class discussion.
S042,2023-08-09,Excellent,Answered all questions perfectly.
S038,2023-11-06,Disruptive,Arguing with peers.
S061,2023-12-09,Inattentive,Sleeping in class.
S266,2023-08-27,Good,Attentive and respectful.
S154,2023-09-07,Helpful,Shared resources with classmates.
S221,2023-12-15,Good,Attentive and respectful.
S217,2023-10-21,Disruptive,Arguing with peers.
S233,2023-10-19,Excellent,Outstanding performance in class discussion.
S019,2023-09-18,Inattentive,Staring out the window.
S004,2023-08-04,Inattentive,Staring out the window.
S229,2023-07-22,Good,Attentive and respectful.
S118,2023-06-08,Inattentive,Not focusing on the assigned task.
S019,2023-07-12,Inattentive,Staring out the window.
S271,2023-06-09,Excellent,Outstanding performance in class discussion.
S220,2023-07-28,Helpful,Assisted the teacher in setting up the lab.
S001,2023-08-10,Disruptive,Using mobile phone in class.
S148,2023-09-07,Helpful,Shared resources with classmates.
S170,2023-08-18,Helpful,Shared resources with classmates.
S141,2023-07-24,Disruptive,Using mobile phone in class.
S283,2023-12-05,Disruptive,Talking during the lecture.
S014,2023-11-09,Excellent,Answered all questions perfectly.
S110,2023-12-08,Helpful,Shared resources with classmates.
S269,2023-06-23,Inattentive,Not focusing on the assigned task.
S165,2023-11-25,Helpful,Assisted the teacher in setting up the lab.
S027,2023-10-28,Excellent,Answered all questions perfectly.
S060,2023-06-04,Disruptive,Arguing with peers.
S040,2023-08-20,Good,Good teamwork.
S208,2023-07-04,Good,Good teamwork.
S237,2023-12-08,Disruptive,Talking during the lecture.
S264,2023-07-03,Excellent,Outstanding performance in class discussion.
S208,2023-08-25,Disruptive,Talking during the lecture.
S171,2023-10-04,Good,Good teamwork.
S061,2023-07-30,Good,Attentive and respectful.
